Unnamed: 0,bollinger_buy,bollinger_lower,bollinger_sell,bollinger_upper,macd_buy,macd_ema_diff,macd_signal_line,market_cap,price,rolling_mean,rolling_mean_buy,rolling_mean_sell,rsi,rsi_buy,rsi_sell,snapped_at,total_volume
333.0,True,528.2141059503434,False,677.9536273829889,True,-21.995464663135863,567.2923601149607,6331497248.0,503.661,600.8002999999987,True,False,16.70885005785908,True,False,2014-03-28,79571600.0
334.0,True,517.0075172947946,False,683.5616827052044,True,-26.156025753744192,554.2942880919686,6317113200.0,502.30199999999996,594.1068999999987,True,False,12.744495422913973,True,False,2014-03-29,26810900.0
335.0,True,501.73208513127037,False,692.3529815353952,True,-31.699393836072545,537.423030473575,5912148997.0,469.93800000000016,586.5452999999987,True,False,11.269751912101569,True,False,2014-03-30,17867800.0
336.0,True,486.207767395898,False,701.0298992707678,True,-36.68150394232339,521.4182243788599,5756309240.0,457.399,578.2037499999988,True,False,10.915158636897758,True,False,2014-03-31,56838500.0
337.0,False,476.04641130077437,False,705.6823420325583,True,-38.46631836811332,512.8778395030879,,478.7163,570.2360649999988,True,False,19.97418652344581,True,False,2014-04-01,
338.0,True,458.16381850875433,False,713.6799348245781,True,-42.71302803653112,497.8052716024703,,437.515,560.1603149999987,True,False,16.986791741863826,True,False,2014-04-02,
339.0,False,445.4802050540345,False,711.1690282792981,True,-44.79026862533357,487.66065728197634,,447.0822,551.0309249999988,True,False,21.36900831276993,True,False,2014-04-03,
340.0,False,433.95448361375014,False,708.7373630529155,True,-45.76395548407828,479.9043658255809,,448.8792,541.5713849999987,True,False,22.79628007574905,True,False,2014-04-04,
341.0,False,426.02155757024667,False,704.0220157630857,True,-44.733187575872876,476.8886726604648,,464.8259,533.3351799999988,True,False,29.92580004956382,True,False,2014-04-05,
342.0,False,417.21742178922517,False,702.3650048774404,True,-43.744734228122304,473.6514981283719,,460.7028,525.1850699999987,True,False,27.47268560868406,True,False,2014-04-06,
343.0,False,408.7518400554383,False,700.658719944561,True,-42.70399004708469,470.4795985026975,5775641210.0,457.792,517.4435699999988,True,False,26.021228175025243,True,False,2014-04-07,9802770.0
344.0,False,401.1133590916297,False,695.9167875750368,True,-41.98652278220061,466.476438802158,,450.4638,509.4349599999987,True,False,21.67071453879566,True,False,2014-04-08,
345.0,False,392.5931759767283,False,692.3721906899377,True,-41.764825947520535,461.2208110417265,,440.1983,501.8413749999987,True,False,20.135892283274416,True,False,2014-04-09,
346.0,True,373.1507650331855,False,694.255314966814,True,-47.44570021153083,441.1447888333812,,360.8407,490.7682599999988,True,False,15.993188090208475,True,False,2014-04-10,
347.0,False,365.69527058063545,False,687.1765627526976,True,-46.63208431910977,436.92709106670486,,420.0563,483.71007499999877,True,False,36.03293502706217,False,False,2014-04-11,
348.0,False,359.7425238278932,False,678.5713095054392,True,-45.41505780146804,433.67367285336405,,420.66,476.35412499999876,True,False,36.32631801083282,False,False,2014-04-12,
349.0,False,353.840723770673,False,670.1584095626598,True,-44.399534942329254,429.9288382826912,,414.9495,468.5306999999988,True,False,39.88748857506982,False,False,2014-04-13,
350.0,False,354.0641154447988,False,657.905937888534,True,-39.692904383837906,435.46983062615305,,457.6338,462.28488999999877,True,False,50.03887046533311,False,False,2014-04-14,
351.0,False,357.6083857599985,False,647.066554240001,True,-30.568115149884306,452.4005245009224,,520.1233,459.06895499999877,False,True,56.03247076785907,False,False,2014-04-15,
352.0,False,361.4437933633518,False,636.9283133033143,True,-22.34963338368392,467.752919600738,,529.1625,457.14507999999887,False,True,64.73248201430755,False,False,2014-04-16,
353.0,False,364.33705796465074,False,626.1535820353488,True,-18.42903218926449,473.08233568059035,,494.4,456.68202999999886,False,True,57.03643472317808,False,False,2014-04-17,
354.0,False,367.30148232945993,False,614.362171003873,True,-16.437137439341598,474.1121085444723,,478.2312,455.47848999999877,False,True,54.18589527846072,False,False,2014-04-18,
355.0,False,370.2379904323319,False,605.3910962343342,True,-12.828909502061208,479.59998683557785,,501.5515,457.05916499999887,False,True,55.12956604231079,False,False,2014-04-19,
356.0,False,372.85660145596717,False,597.1067985440322,True,-10.193490924396087,483.1435294684623,,497.3177,459.05509999999884,False,True,55.11252329370552,False,False,2014-04-20,
357.0,False,374.2675645814592,False,591.1260554185403,True,-8.38303259802683,485.0494835747698,,492.6733,459.75294999999886,False,True,54.84699598887122,False,False,2014-04-21,
358.0,False,376.3592356189904,False,583.5060043810091,True,-7.49286687112118,485.010246859816,,484.8533,462.11986499999887,False,True,54.77213454756482,False,False,2014-04-22,9770190.33501529
359.0,False,379.419176922536,False,574.8531964107967,True,-6.496927719031477,485.5131974878528,,487.525,464.14200499999885,False,True,56.708783888950464,False,False,2014-04-23,8412033.04319361
360.0,False,384.6358652687626,False,563.751394731237,True,-5.104268523303175,487.2652179902822,,494.2733,466.41170999999895,False,True,73.8176718933743,False,True,2014-04-24,9512215.00374305
